Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Kaifer Cédric Andrin,Knaben U10,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),8,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Stöckenius Lars,Knaben U10,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),12,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Baumgartner Benjamin,Knaben U10,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),15,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Czermak Emil,Knaben U10,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),17,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Baumgartner Elisa,Mädchen U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),2,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Kaifer Chiara Luana,Mädchen U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),6,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Börlin Mael,Knaben U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),3,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Rossi Liam,Knaben U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),16,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Stöckenius Till,Knaben U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),21,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Artho Emma,Mädchen U14,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),18,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Fuhrer Ramon,Knaben U14,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),20,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Simmerle Finn,Knaben U16,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),1,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Janssen Justin,Knaben U16,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),4,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Czermak Lara,Mädchen U10,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),DNF,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
Hensch Silvan,Knaben U12,11. Minikipp Nachtslalom 2025,Slalom,Sattel-Hochstuckli (SUI),DNF,2025-01-15,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1203.pdf
