Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Simmerle Finn,Knaben,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,9,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Roshardt Aliyah,Mädchen,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,11,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Stöckenius Lars,U11,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Stöckenius Till,U11,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Baumgartner Benjamin,U11,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Kaifer Cédric,U11,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Simmerle Finn,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Roshardt Aliyah,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Janssen Justin,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Baumgartner Melicia,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Boss Nevio,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,DSQ,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Börlin Mael,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Baumgartner Elisa,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
Artho Emma,U12 - U16,ZSV Clubmeisterschaft,Parallelslalom,Hoch Ybrig,,2025-03-22,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1400.pdf
