Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Baumgartner Elisa,Mädchen U12,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",6,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Kaifer Chiara Luana,Mädchen U12,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",7,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Baumgartner Melicia,Mädchen U14,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",1,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Seiler Anna,Mädchen U14,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",7,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Artho Emma,Mädchen U14,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",13,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Roshardt Aliyah,Mädchen U16,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",3,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Börlin Mael,Knaben U12,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",1,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Rossi Liam,Knaben U12,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",5,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Fuhrer Ramon,Knaben U14,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",23,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Simmerle Finn,Knaben U16,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",7,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Janssen Justin,Knaben U16,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",9,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Seiler Louis,Knaben U16,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
Hensch Pascal,Knaben U14,"RGZO Jugend Slalom 2",Slalom,"Wildhaus, Piste Hoxperen",DNF,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1383.pdf
