Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Chiara Luana Kaifer,MU12,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,5,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Elisa Baumgartner,MU12,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,6,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Melicia Baumgartner,MU14,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,3,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Anna Seiler,MU14,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,9,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Mael Börlin,KU12,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,3,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Ramon Fuhrer,KU14,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,17,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Finn Simmerle,KU16,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,8,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Louis Seiler,KU16,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,10,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Justin Janssen,KU16,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,11,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
Aliyah Roshardt,MU16,SSC RiSa Derby-Slalom 1,Slalom,Hoch-Ybrig,DNF,2025-03-02,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1397.pdf
