Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Simmerle Roland,Ü40 Herren,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),5,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Baumgartner Benjamin,U9 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),8,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Andris Niklas,U9 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),19,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Hensch Silvan,U11 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),5,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Stöckenius Lars,U11 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),8,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Kaifer Cédric Andrin,U11 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),12,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Stöckenius Till,U11 Knaben,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),14,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Baumgartner Elisa,U12 Mädchen,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),2,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Kaifer Chiara Luana,U12 Mädchen,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),3,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
Artho Emma,U14 Mädchen,15. OBERLINSPORT RACE 2025,Riesenslalom,Hoch-Ybrig (ZSV),12,2025-03-23,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1422.pdf
