Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Lara Czermak,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,1,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Benjamin Baumgartner,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,2,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Till Stöckenius,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,15,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Pascal Hensch,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,20,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Silvan Hensch,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,22,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Louis Brüngger,U8,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,23,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Anna Seiler,U9,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,4,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Lara Czermak,U10,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,19,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Finn Simmerle,U10,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,5,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Niklas Andris,U10,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,18,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Yann Andris,U10,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,32,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
Emil Czermak,U10,Grand Prix Migros Hoch-Ybrig,Riesenslalom,Hoch-Ybrig,DQ,2025-02-01,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1050.pdf
