Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Baumgartner Elisa,Mädchen U12,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,4,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Baumgartner Melicia,Mädchen U14,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,1,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Artho Emma,Mädchen U14,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,16,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Roshardt Aliyah,Mädchen U16,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,3,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Börlin Mael,Knaben U12,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,6,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Rossi Liam,Knaben U12,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,11,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Simmerle Finn,Knaben U16,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,4,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Hensch Pascal,Knaben U14,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,DNS,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Fuhrer Ramon,Knaben U14,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,DNF,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
Janssen Justin,Knaben U16,Zürileu Rennen 2025 - ZSV Living Circle Cup,Slalom,Obersaxen,DNF,2025-01-12,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1375.pdf
