Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Elisa Baumgartner,U12,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",2,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Chiara Luana Kaifer,U12,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",6,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Melicia Baumgartner,U14,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",2,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Anna Seiler,U14,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",8,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Emma Artho,U14,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",12,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Aliyah Roshardt,U16,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",1,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Mael Börlin,U12,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",1,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Liam Rossi,U12,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",5,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Pascal Hensch,U14,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",11,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Ramon Fuhrer,U14,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",26,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Louis Seiler,U16,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",9,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Justin Janssen,U16,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",10,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
Finn Simmerle,U16,RGZO Jugend Slalom 1,Slalom,"Wildhaus, Piste Hoxperen",DNF,2025-01-26,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1380.pdf
