Name,Category,RaceName,Event,Location,Rank,Date,ResultUrl
Elisa Baumgartner,U12,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,9,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Elin Erni,U12,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,10,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Melicia Baumgartner,U14,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,6,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Anna Seiler,U14,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,25,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Emma Artho,U14,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,39,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Aliyah Roshardt,U16,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,7,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Mael Börlin,U12,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,8,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Finn Simmerle,U16,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,13,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Justin Janssen,U16,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,16,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
Pascal Hensch,U14,"Jugend Combi-Race Speed",Combi-Race,Flumserberg,,2025-02-08,https://www.swiss-ski-kwo.ch/tk/ranglisten/2025/1386.pdf
